Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close
1/8/2017,3.04,2.81,3.045,2.753,2940000,963,"1,072","1,018",52.86
1/9/2017,3.007,3.027,3.166,2.885,3170000,996,"1,104","1,050",56.79
1/10/2017,2.896,3.018,3.036,2.723,3890000,"1,007","1,115","1,061",60.94
1/11/2017,3.025,2.906,3.231,2.797,3820000,"1,041","1,148","1,095",62.63
1/12/2017,2.953,3.032,3.127,2.568,4230000,"1,045","1,152","1,099",66.44
1/1/2018,2.995,3.03,3.661,2.746,5350000,"1,224","1,352","1,288",68.89
1/2/2018,2.667,2.956,2.978,2.53,3100000,"1,207","1,335","1,271",64.73
1/3/2018,2.733,2.668,2.811,2.565,2550000,"1,241","1,371","1,306",69.34
1/4/2018,2.763,2.73,2.839,2.621,2910000,"1,204","1,332","1,268",74.69
1/5/2018,2.952,2.764,2.988,2.695,2870000,"1,207","1,335","1,271",77.56
1/6/2018,2.924,2.951,3.053,2.873,2680000,"1,240","1,370","1,305",79.23
1/7/2018,2.782,2.92,2.927,2.704,2260000,"1,317","1,455","1,386",74.21
1/8/2018,2.916,2.78,2.993,2.74,2690000,"1,316","1,454","1,385",77.64
1/9/2018,3.008,2.9,3.111,2.752,2800000,"1,338","1,479","1,409",82.73
1/10/2018,3.261,3.007,3.368,3.001,3990000,"1,307","1,445","1,376",75.04
1/11/2018,4.612,3.284,4.929,3.166,4450000,"1,335","1,468","1,402",59.46
1/12/2018,2.94,4.527,4.666,2.93,2760000,"1,380","1,525","1,453",54.02
1/1/2019,2.814,2.921,3.722,2.789,2700000,"1,279","1,413","1,346",60.84
1/2/2019,2.812,2.832,2.908,2.543,2240000,"1,194","1,320","1,257",66.31
1/3/2019,2.662,2.805,2.897,2.656,1950000,"1,207","1,333","1,270",67.58
1/4/2019,2.575,2.663,2.733,2.439,2300000,"1,272","1,406","1,339",72.06
1/5/2019,2.454,2.572,2.7,2.444,2500000,"1,279","1,413","1,346",61.99
1/6/2019,2.308,2.444,2.475,2.159,2650000,"1,295","1,429","1,362",64.74
1/7/2019,2.233,2.33,2.489,2.107,3080000,"1,252","1,384","1,318",65.05
1/8/2019,2.285,2.238,2.333,2.029,3250000,"1,191","1,317","1,254",59.25
1/9/2019,2.33,2.288,2.71,2.269,3440000,"1,221","1,349","1,285",59.25
1/10/2019,2.633,2.325,2.738,2.187,4110000,"1,090","1,204","1,147",59.62
1/11/2019,2.281,2.637,2.905,2.27,3660000,"1,145","1,265","1,205",60.49
1/12/2019,2.189,2.315,2.51,2.138,3770000,"1,071","1,183","1,127",65.29
1/1/2020,1.841,2.184,2.255,1.812,3850000,"1,013","1,119","1,066",56.62
1/2/2020,1.684,1.852,2.025,1.642,4040000,"1,045","1,155","1,100",49.67
1/3/2020,1.64,1.695,1.998,1.519,3840000,"1,059","1,169","1,114",26.35
1/4/2020,1.949,1.643,1.974,1.521,3570000,"1,068","1,178","1,123",26.48
1/5/2020,1.849,1.936,2.162,1.595,3650000,878,970,924,37.84
1/6/2020,1.751,1.83,1.864,1.432,3390000,806,890,848,41.27
1/7/2020,1.799,1.754,1.928,1.605,2900000,870,962,916,43.52
1/8/2020,2.63,1.859,2.743,1.852,3340000,953,"1,053","1,003",45.66
